Gen1	Gen2	Gen3	Gen4	Gen5	control1	control2	control3	control4	control5
Barnesiella viscericola	81.5489233324606	32.3069300585515	116.40713403214	49.1930080597243	62.6154687810946	66.1034393660746	29.2539507823601	55.7533187547937	96.4621505648988	38.1352642912469
Berryella intestinalis	154.247575915662	89.6517309124803	474.669866927173	176.922221969184	247.957256373135	0	177.774008600496	205.71052092286	234.121677933556	0
Bifidobacterium adolescentis	202.924065036588	172.84207581325	215.861772816881	200.224173155369	251.7141845	119.734531681946	155.270969537142	111.506637509587	155.746180599576	266.946850038728
Bifidobacterium animalis	305.966503045821	250.378707953774	204.560109318615	267.540921026571	169.061765708956	298.089094499846	254.2843414159	229.742123834409	347.665667660989	424.505705136775
Bifidobacterium longum	73.9629769759527	69.4598996258856	55.3781511415036	83.714417224443	103.941678176617	52.3838576108515	91.1373082065835	50.9469981724839	80.385125470749	129.459186672917
Bifidobacterium sp. ESL0790	23.3900012658996	20.1918312865947	0	36.2474796229547	33.8123531417911	0	0	15.3802258633914	16.0770250941498	16.0569533857882
Blattabacterium cuenoti	53.1016244955558	25.8455440468412	29.3843250954917	36.2474796229547	37.5692812686568	52.3838576108515	27.0036468760247	28.8379234938588	72.3466129236741	30.1067875983528
Blautia argi	3302.41531386647	2296.21505391154	2814.11421106824	1745.92026850565	1512.78972575125	8034.68596974061	3992.03912983899	3455.74449868075	3565.08031462772	6025.37175801701
Blautia coccoides	6469.54791770854	15905.5093410763	9732.99260470671	7909.71787486619	3729.377320602	8474.95982061277	9866.45747732754	7977.53090251781	5242.11499476122	6096.62448866645
Blautia hansenii	0	0	0	0	0	189.579675163082	57.3827496115526	78.8236575498808	18.0866532309185	128.455627086305
Blautia hydrogenotrophica	99.8816270273549	357.799250398457	725338.502986014	101.83815703592	35.064662517413	120.981766386967	72753.4504437765	71796.8168585439	8068.65696912643	209.743953601858
Blautia liquoris	10915.5446448186	3637.76032459289	1868.16497626338	12226.6200909143	257.97573137811	10827.244474281	48770.836562007	47173.0752512543	40958.2310554834	71068.0756854985
Blautia luti	23298.9699096215	1888.34006192233	8384.70414936357	7914.03305101178	4239.06723648011	40891.8370387947	8957.33469916804	9811.62283672724	8554.98697822446	50855.382051551
Blautia massiliensis (ex Durand et al. 2017)	222406.67176669	245249.175133727	377196.409753678	127544.524370428	329053.054610282	324304.720764667	741784.553924634	706862.684247954	436440.990602748	170584.054972681
Blautia obeum	2380.72283155075	1252.70121302033	640.804320351684	1168.54970022573	1309.9156069005	2597.98989055723	1023.88827738261	811.306914293895	1484.1103790037	1520.39277371682
Blautia parvula	222.521093124234	269.762865988905	724.436630238853	56.097289892668	1415.10959445274	294.347390384785	198.026743757515	163.414899798533	82.3947536075177	37.1317047046352
Blautia producta	502.568946118653	104.189849438828	89.2831416363017	165.70276399065	394.477453320896	205.793726328345	157.521273443478	162.453635682071	66.3177285133679	56.1993368502586
Blautia pseudococcoides	463.374889943362	1207.47151093836	2565.47761410639	896.69360305357	510.942225253732	962.865192275652	1093.647698479	971.838021743043	338.62234104553	761.701726238327
Blautia sp. SC05B48	4466.85807959044	102141.590073116	12428.4393490432	240447.65607887	2644.87740131344	155243.303733874	2152.41568640981	1815.82791599664	1396.69155505426	44342.2803344407
Blautia wexlerae	4115.37589840557	11047.3547335217	609.159662556539	1644.94514669885	698.788631597016	530.074749633617	9768.56925740195	7241.20258930795	7194.46872963203	204.726155668799
Borrelia miyamotoi	78.3881123505823	50.0757415907548	49.7273193923705	30.2062330191289	36.3169718930349	49.889388200811	57.3827496115526	56.7145828712557	32.1540501882996	55.1957772636469
Brevibacillus agri	89.7670318853443	98.5361366785819	73.4608127387292	101.83815703592	167.809456333334	78.5757864162773	86.6367003939127	80.7461857828047	67.3225425817523	101.359518247788
Brevibacillus borstelensis	13.9075683202646	12.9227720234206	13.5619961979192	19.8498102697133	21.2892593855722	0	15.7521273443478	0	17.0818391625342	26.0925492519058
Brevibacillus formosus	68.2735172085717	53.3064345966099	30.5144914453183	26.7540921026571	47.5877562736319	53.6310923158718	58.5079015647203	38.4505646584784	28.1347939147621	30.1067875983528
Brevibacillus laterosporus	150.454602737408	299.646776293065	183.08694867191	268.403956255688	249.209565748757	172.118389292798	144.019450005465	222.052010902713	191.919487061413	378.341964152634
Burkholderia thailandensis	235.164337051747	298.839103041601	154.832789926245	174.33311628183	313.077343905473	215.771603968508	198.026743757515	227.819595601485	270.294984395393	0
Butyrivibrio fibrisolvens	312.920287205954	2129.02669085854	378.605727191912	666.263196879072	512.194534629354	2084.12919208888	625.58448596124	809.384386060971	1635.83730332974	409.452311337598
